Date,Model,Predicted,Lower_Bound,Upper_Bound,Selected_Model
2021-08-12,Random Forest,41981.75325925928,,,Random Forest
2021-08-13,Random Forest,39678.62552116401,,,Random Forest
2021-08-14,Random Forest,38492.12369576717,,,Random Forest
2021-08-15,Random Forest,38844.089059523794,,,Random Forest
2021-08-16,Random Forest,34084.208984126955,,,Random Forest
2021-08-17,Random Forest,31697.76024735449,,,Random Forest
2021-08-18,Random Forest,36248.44989682537,,,Random Forest
2021-08-19,Random Forest,38821.85736111109,,,Random Forest
2021-08-20,Random Forest,38734.502464285695,,,Random Forest
2021-08-21,Random Forest,38620.49519841269,,,Random Forest
2021-08-22,Random Forest,38843.856591269825,,,Random Forest
2021-08-23,Random Forest,34571.05417724867,,,Random Forest
2021-08-24,Random Forest,32586.066226190465,,,Random Forest
2021-08-25,Random Forest,35852.440369047596,,,Random Forest
2021-08-26,Random Forest,38260.71119179892,,,Random Forest
2021-08-27,Random Forest,38903.922503968235,,,Random Forest
2021-08-28,Random Forest,38945.5742142857,,,Random Forest
2021-08-29,Random Forest,39107.24041666664,,,Random Forest
2021-08-30,Random Forest,34630.15522486772,,,Random Forest
2021-08-31,Random Forest,32574.97084788359,,,Random Forest
2021-09-01,Random Forest,34419.16586640211,,,Random Forest
2021-09-02,Random Forest,36848.01376322749,,,Random Forest
2021-09-03,Random Forest,36948.062842592575,,,Random Forest
2021-09-04,Random Forest,36518.02184523808,,,Random Forest
2021-09-05,Random Forest,36780.52278174601,,,Random Forest
2021-09-06,Random Forest,32014.246500000005,,,Random Forest
2021-09-07,Random Forest,29670.475928571428,,,Random Forest
2021-09-08,Random Forest,32201.445087301578,,,Random Forest
2021-09-09,Random Forest,33647.593833333325,,,Random Forest
2021-09-10,Random Forest,33931.43486111111,,,Random Forest
2021-08-12,SARIMA,39360.07547562866,26008.424494468272,52711.72645678905,Random Forest
2021-08-13,SARIMA,40205.0990533748,23391.36115604258,57018.83695070702,Random Forest
2021-08-14,SARIMA,35820.438940378415,15528.178288612755,56112.699592144076,Random Forest
2021-08-15,SARIMA,36121.67681863153,13065.938137662633,59177.41549960043,Random Forest
2021-08-16,SARIMA,33380.76307134963,7793.621767313078,58967.90437538619,Random Forest
2021-08-17,SARIMA,25096.30881997674,0.0,52964.07674252513,Random Forest
2021-08-18,SARIMA,36091.70020996332,6108.894688094944,66074.50573183168,Random Forest
2021-08-19,SARIMA,36817.57640900535,1498.2061344668982,72136.94668354379,Random Forest
2021-08-20,SARIMA,38000.73096892857,0.0,77148.39479779752,Random Forest
2021-08-21,SARIMA,32950.39160345249,0.0,75845.57212029569,Random Forest
2021-08-22,SARIMA,33309.719010014975,0.0,79561.20288880116,Random Forest
2021-08-23,SARIMA,30230.707649663706,0.0,79641.21736884692,Random Forest
2021-08-24,SARIMA,22349.019049248956,0.0,74717.93737784564,Random Forest
2021-08-25,SARIMA,32999.93231928296,0.0,88172.45375115842,Random Forest
2021-08-26,SARIMA,33840.25682883628,0.0,95401.27580202573,Random Forest
2021-08-27,SARIMA,34885.80376000979,0.0,101320.43013416874,Random Forest
2021-08-28,SARIMA,30106.364530883126,0.0,101384.34990122123,Random Forest
2021-08-29,SARIMA,30442.051708179242,0.0,106149.59576828434,Random Forest
2021-08-30,SARIMA,27500.629460018456,0.0,107428.66222851616,Random Forest
2021-08-31,SARIMA,19455.035241932746,0.0,103379.04780180487,Random Forest
2021-09-01,SARIMA,30246.133954264435,0.0,117988.69823538625,Random Forest
2021-09-02,SARIMA,31039.883699062128,0.0,125356.64325189262,Random Forest
2021-09-03,SARIMA,32141.43007437068,0.0,131896.4394485228,Random Forest
2021-09-04,SARIMA,27251.74800325557,0.0,132404.07929041385,Random Forest
2021-09-05,SARIMA,27597.055575048766,0.0,137798.71111396162,Random Forest
2021-09-06,SARIMA,24599.64142228908,0.0,139658.5110395393,Random Forest
2021-09-07,SARIMA,16620.74861347417,0.0,136329.64786783743,Random Forest
2021-09-08,SARIMA,27354.79884456967,0.0,151543.34317806704,Random Forest
2021-09-09,SARIMA,28167.50219503299,0.0,159405.7324576117,Random Forest
2021-09-10,SARIMA,29246.259590369395,0.0,166513.45266239488,Random Forest
