Fold,Model,MAE,RMSE,MAPE (%)
1,Naive,5672.714285714285,7094.768475030437,20.802819768863106
1,7-day Moving Average,7063.840280046059,8098.762297892656,25.24602230772245
1,Random Forest,7475.7319360338015,8130.327364105404,25.98294378004428
1,SARIMA,3368.345446094311,3845.314263335552,11.213053220736533
2,Naive,6274.785714285715,7488.830401719235,76.7590476666792
2,7-day Moving Average,5389.983983204891,7010.563588386303,49.038592118874256
2,Random Forest,4415.820781519276,6615.893517298533,39.392764642585476
2,SARIMA,4061.577345568316,6545.784674802846,41.49908505814196
3,Naive,101329.57142857143,109596.6567040906,36.075789384912134
3,7-day Moving Average,96315.09239956898,105255.33719487669,34.413066553606235
3,Random Forest,98683.5278820862,107358.99574513809,35.20623771821336
3,SARIMA,145235.04095858926,160602.09869005572,51.976904178619385
4,Naive,4455.714285714285,6402.549626069736,13.213357812277115
4,7-day Moving Average,3885.1262477818514,4779.166306662565,10.549481447988388
4,Random Forest,2955.740532426298,3841.527199386098,8.102357038255697
4,SARIMA,6942.984023025335,8190.285558756901,18.415299304432136
