Model,Holdout_MAE,Holdout_RMSE,Rolling_MAE,Rolling_RMSE,Holdout_Rank,Rolling_Rank,Combined_Rank
Random Forest,116117.18054959981,124383.20879160464,18862.857697451876,21035.73564010148,1.0,1.0,2.0
Random Forest,120391.1240765455,128340.90564901882,18862.857697451876,21035.73564010148,2.0,1.0,3.0
GradientBoosting,123379.9628490014,131253.80335034587,19790.657468611866,21251.880912564702,3.0,3.0,6.0
GradientBoosting,139575.0323595251,149166.50342715246,19790.657468611866,21251.880912564702,4.0,3.0,7.0
HistGradientBoosting,140272.2605830601,149383.09805001845,25453.148849594523,28802.99520372965,5.0,5.0,10.0
HistGradientBoosting,144339.5190306287,154594.04286381294,25453.148849594523,28802.99520372965,6.0,5.0,11.0
7-day Moving Average,161850.8159932848,176415.1776021261,28163.510727650446,31285.957346954554,7.0,7.0,14.0
Naive,178571.80357142858,198738.7172128539,29433.19642857143,32645.701301727502,8.0,8.0,16.0
SARIMA,993232.058309008,1162452.0687237624,31765.31934366392,35908.13132829068,10.0,9.0,19.0
SARIMA,993232.058309008,1162452.0687237624,31765.31934366392,35908.13132829068,10.0,9.0,19.0
Damped Holt,852590.1985233615,984305.2201502318,38207.842145766044,42490.82715341443,9.0,11.0,20.0
