Model,MAE,RMSE,MAPE (%),sMAPE (%),Fold
Naive,5672.714285714285,7094.768475030437,20.802819768863106,17.6881656560296,1
7-day Moving Average,7063.840280046059,8098.762297892656,25.24602230772245,21.362130646726403,1
Damped Holt,5852.724028858168,7322.562956229691,21.463200206256843,18.16570851791502,1
HistGradientBoosting,5747.292615768892,6550.1149657736405,20.199537462697112,17.66411125001059,1
Random Forest,6795.429214752337,7902.080811631897,24.297111461701963,20.62184639678328,1
GradientBoosting,6220.983386901939,7499.117851528268,22.003394736413124,18.818591352643157,1
SARIMA,2529.4205740264274,2832.4798834322874,8.844370283900256,9.447348803406634,1
Naive,6274.785714285715,7488.830401719235,76.7590476666792,41.602214853008796,2
7-day Moving Average,5389.983983204891,7010.563588386303,49.038592118874256,40.11460725038146,2
Damped Holt,4671.086605968739,6550.3390379920365,48.72207024937261,34.326139491252526,2
HistGradientBoosting,5885.901226851105,7697.215726946195,50.71612102925943,44.158112316304766,2
Random Forest,5503.5040103547535,7436.743406169945,49.00394418392619,41.084668799615294,2
GradientBoosting,5354.549977253446,7214.273442398513,48.57249118545538,39.427321970955944,2
SARIMA,4845.191018872078,6996.043228949573,49.60654997891635,32.98260179704939,2
Naive,101329.57142857143,109596.6567040906,36.075789384912134,29.496501979331953,3
7-day Moving Average,96315.09239956898,105255.33719487669,34.413066553606235,28.273510007215307,3
Damped Holt,137507.45141612078,149260.58182413952,49.013468040208814,37.61899094850582,3
HistGradientBoosting,86237.70192196644,95969.09396588893,31.002438550146355,25.771164890226938,3
Random Forest,58962.00369734287,63934.71881488657,20.961509810295556,18.536847149470113,3
GradientBoosting,63298.57412956502,64633.92795144809,21.66682132002999,19.3992308715242,3
SARIMA,108952.10335682417,121472.24690155151,39.02410175684206,31.111943174335128,3
Naive,4455.714285714285,6402.549626069736,13.213357812277115,11.453207579626508,4
7-day Moving Average,3885.1262477818514,4779.166306662565,10.549481447988388,10.229614247370865,4
Damped Holt,4800.106532116495,6829.824795296485,14.164925950820795,12.224478720264853,4
HistGradientBoosting,3941.6996337916676,4995.556156309836,11.001165749572205,10.410946278695176,4
Random Forest,4190.493867357548,4869.399527717509,11.187705484890099,11.114967055922879,4
GradientBoosting,4288.522380727057,5660.204404883941,12.296338724650761,11.218652802779939,4
SARIMA,10734.562424932998,12331.755299229333,28.279068680612074,23.835051239558204,4
